GSM2367635	GSM2367636	GSM2367637	GSM2367638	GSM2367639	GSM2367640	GSM2367641	GSM2367642	GSM2367643	GSM2367644	GSM2367645	GSM2367646
10127	7.7080173	8.885075	8.309429	7.9820857	7.8852105	8.359764	8.72716	8.087003	8.108722	8.231994	8.176288	8.238924
10129	6.33124	6.3620343	6.427538	6.1272893	6.3300667	5.9408145	6.2624564	6.159534	6.1590915	6.292978	6.1261234	6.3503413
10134	11.23981	12.6320305	11.418057	12.265207	11.389193	11.955418	11.346112	11.081168	11.323609	11.208267	11.2496195	11.313076
10135	9.174661	7.247136	8.713913	6.759923	7.7320056	8.147479	7.80041	9.193685	7.838212	6.600678	8.383613	6.650853
10137	8.077472	8.253758	7.752211	8.476024	7.5728736	8.116013	7.739455	7.547635	7.3625584	8.033037	7.648089	8.463631
10138	7.3591332	8.301339	7.5363917	7.055561	7.5980406	7.3641133	7.6717343	7.485048	7.523361	7.7822976	7.3038406	7.8556113
10139	6.4489336	7.4195447	6.750997	6.9647064	6.4222226	6.604572	6.7932696	6.666032	6.671457	6.418204	6.765236	7.1527433
10143	5.8724127	6.0091496	5.9280043	6.132108	6.1129823	5.98927	6.1710415	5.933013	5.979961	5.9933777	6.123466	6.212381
10144	6.8342915	6.7347593	7.8290377	7.564378	8.785218	7.4105005	7.550497	9.477769	9.783791	7.117375	8.521959	7.5359006
10147	7.2000604	7.61537	7.170588	7.9965034	6.6004195	6.9817944	6.9248466	6.9667435	6.996581	7.4800725	6.83888	7.704868
10148	7.15487	6.898113	8.512276	7.1245227	7.8290377	6.7413387	6.805996	7.4826217	7.5662184	6.5896893	6.7113543	7.210433
10150	7.8933997	8.126967	8.495461	6.673855	7.464194	6.820669	6.522934	8.119799	7.230933	7.044626	7.069321	7.190022
10153	10.454093	10.276346	10.191139	10.35095	10.151327	10.0551405	9.938336	10.147963	10.059668	10.058189	10.180106	9.933302
10154	6.1759343	6.125973	6.3240185	6.3071384	6.141981	6.8679996	7.120486	6.2100058	6.191835	6.341459	6.0895605	6.744455
10155	8.535327	8.553082	8.065862	9.769818	8.224252	9.023952	8.782663	8.20943	8.214071	9.32502	8.527527	8.867186
10156	5.9023604	5.8200126	5.858727	5.967843	6.1626344	5.6568646	6.49664	5.896454	6.0699415	6.114281	6.161219	6.275423
10157	7.1998353	6.998355	8.322	6.11966	6.527583	6.9219036	7.0589037	7.2996583	7.5287404	6.0958433	7.190454	5.9106307
10158	6.5905886	5.762344	5.9992476	5.8588734	7.8965387	5.889536	6.245324	5.9133925	6.062648	6.500666	5.7573266	5.694859
10159	10.909112	10.649857	10.7452345	10.420395	10.706971	10.77174	10.152125	10.243426	10.200101	10.396682	10.402666	10.201786
10160	6.4713016	6.6004195	6.3003416	7.537535	6.994832	6.79736	6.788913	6.949807	6.688754	7.7707567	6.7016945	7.4168944
10163	7.4617715	7.928472	8.098943	8.511921	8.0244255	7.636315	8.455403	8.025446	7.882304	8.370443	7.9891286	8.0232315
10164	7.2222133	5.817034	7.0238547	6.6676126	12.168509	7.3706694	6.0754414	7.87395	8.498787	6.7366347	6.021745	5.8110437
10165	9.611201	10.575525	10.738138	8.880523	8.638729	8.885075	9.11685	9.488971	9.626422	7.529737	8.944784	8.991695
10166	11.183831	11.709431	12.123636	9.44008	10.0427265	10.3066225	11.761816	11.535103	12.166033	7.527237	10.923584	9.635678
10168	6.4156446	6.459058	6.0459585	6.9586406	6.2295537	6.6022563	5.9586496	6.088259	6.193475	6.63716	6.532821	6.3777213
10169	12.400581	12.424158	12.5381565	12.724396	12.945255	12.173406	13.126128	12.660348	12.996738	12.840012	12.883233	12.406035
1017	9.098458	8.131796	7.689787	9.026661	8.467403	9.815662	9.192639	8.632565	8.503211	9.009483	9.267513	9.097049
10170	6.1261954	5.827665	6.378904	5.8659015	6.061347	5.895466	5.792436	6.068422	6.060475	5.8973775	5.939656	5.915653
10171	8.963574	9.467494	9.706224	7.687691	8.520109	9.277627	8.052603	10.604257	10.409991	7.226161	8.842236	8.244178
10174	6.1140394	6.278429	6.3056116	6.3095064	6.3541727	6.123589	6.0185127	6.3671	6.3506794	6.2428284	6.2205725	6.429409
10175	11.032237	10.96645	10.90387	10.325548	10.841581	10.859312	10.874463	10.74757	11.053287	10.211349	10.520423	11.0074215
10178	6.996405	7.1066885	8.785218	7.2320037	6.542338	6.120391	9.286631	7.8181987	8.083462	5.905899	8.128272	6.9621696
10179	6.810312	6.489088	6.6364036	6.3340416	6.44175	6.6324816	5.9652824	6.418103	6.5281396	6.3291807	6.479356	5.980289
10181	10.153541	10.454093	10.468932	10.793145	10.337527	10.452228	10.032181	10.205753	10.377325	11.445471	10.653133	10.612996
10186	7.764241	7.238858	7.209268	7.189554	8.861339	7.5359006	7.0959373	7.0295715	7.5213633	9.484804	7.068889	7.788508
10189	6.2773805	6.083397	6.3858213	6.383495	5.981561	6.137676	6.4559746	6.090616	6.202677	6.0043283	6.4559746	6.1534643
1019	9.961902	9.179471	9.1974945	10.924775	9.32858	10.000614	9.643105	8.799787	8.736009	9.861093	9.580945	9.797355
10193	7.042314	6.8867474	6.606984	7.6405907	7.089843	7.8318706	7.245563	6.7528152	6.6365366	6.890842	7.001336	7.2781477
10194	7.7218037	7.742243	7.426455	8.197889	7.906777	8.012426	8.110879	7.691877	7.968826	8.285062	7.45184	8.103321
10195	9.244988	9.506625	8.68551	11.356926	9.314354	9.24801	9.902562	9.616445	9.3949175	9.506132	9.552793	9.589576
10197	8.556015	8.479734	7.718744	8.792722	8.172697	8.242584	8.523391	8.106446	7.987007	8.892649	8.458809	8.688723
10198	7.189168	6.833434	6.8107743	7.2931843	6.7761617	7.642858	7.394836	6.912133	7.0589037	6.5742435	7.7317333	7.1339407
10199	8.711235	8.964504	8.561928	9.576648	8.783916	9.201353	9.429744	9.404527	9.43352	8.687925	9.097946	8.9993305
102	5.9583635	6.070958	5.9450774	5.850612	5.7766333	5.636835	5.8182745	5.7601237	5.8892975	5.8126264	5.7873173	5.7944846
1020	8.110248	7.9273095	7.0650454	8.267763	7.711834	7.8802443	8.241959	7.6681185	7.7340875	7.7710404	8.06432	7.70957
10200	6.8714337	6.386945	6.916572	6.1653347	6.1067266	6.55982	6.67161	6.2381964	6.2509155	6.3581142	6.2304964	6.2213917
10201	7.8620634	7.4779263	7.665171	8.342469	7.4820943	7.975686	7.358909	7.5388384	7.610327	8.092307	7.5797687	8.062715
10203	7.699983	7.480554	6.911764	6.6937056	7.7379804	7.7644987	7.420446	6.842666	6.8412685	7.90619	7.845154	8.260769
10207	6.306106	6.403266	6.3781047	6.182559	6.0825467	6.119414	6.2455897	5.9539413	6.1832466	6.308229	6.188722	6.458733
10208	7.431755	7.7306304	8.002522	7.4494367	7.111156	7.126566	7.491859	7.164859	7.4361167	7.2137337	7.0613737	7.903119
10211	10.041227	9.64764	9.655235	9.940449	10.219087	9.517042	9.596179	9.375057	9.4837885	9.959909	9.49651	9.914152
10212	10.327576	10.002864	9.988779	10.192597	9.573273	10.498278	10.159077	9.2772	9.39833	11.081168	10.260361	10.325548
10213	9.427519	8.972845	8.291936	9.008248	8.269375	8.939764	8.740523	8.4680395	8.152785	8.166283	8.794378	7.9748716
10214	6.0050354	6.1044536	6.069171	5.9029202	6.1205373	6.2180915	6.068274	5.882518	5.9721036	6.147917	6.16701	6.0515513
10220	6.4192753	7.009872	6.789417	8.546571	6.7754984	6.4501863	6.4010577	6.9595504	6.823463	7.1788263	6.3570795	6.7398887
10221	11.876522	11.323609	11.828227	11.310322	10.520423	10.595705	12.156623	11.979257	11.615007	11.23981	11.440522	11.970234
10225	6.3381014	7.0302715	7.6728497	6.321004	7.427126	6.5368166	6.069113	6.711077	7.0278068	6.6734767	6.2650127	6.935959
10226	9.099276	9.60573	10.351933	9.845257	10.689748	9.578509	9.291113	9.627052	9.316388	11.202759	10.025986	9.788022
10227	9.365162	9.714606	10.273959	11.232549	11.042707	9.768525	9.594318	9.563622	9.8125725	11.857727	9.497052	10.000614
10228	8.164702	7.8931227	8.171393	8.237344	8.165013	7.8487124	8.243278	7.820832	7.841789	9.262691	8.070845	7.9578414
10229	7.3005304	7.4985604	6.9135027	6.7647777	6.901299	7.4162292	7.457491	7.239071	7.31607	6.9952116	7.2315173	7.2108836
10231	7.272975	6.7697334	7.1759706	6.5615525	9.50778	7.227484	7.5555673	7.8051143	7.510171	9.545423	6.843788	7.786791
10235	6.0066147	6.6934104	6.6543245	6.2345886	6.774878	6.303088	6.339841	6.1571507	6.7142873	6.6578803	6.341523	6.4856057
10236	9.877233	10.180967	10.363551	11.311672	10.469808	10.683285	11.025722	10.585794	10.617345	11.55482	11.220419	10.439358
10237	10.870834	10.406442	9.78749	11.470421	10.421143	11.591477	11.142802	10.707957	10.596839	10.614054	11.777439	11.387531
10238	8.6818695	9.013026	9.171367	9.526983	8.744186	9.633313	9.006411	8.508551	8.850445	9.558782	9.530769	9.413846
10240	9.268563	9.707461	9.490646	9.713947	9.526402	8.9965515	9.491294	9.366086	9.68231	8.4512615	8.736009	8.661142
10241	7.353105	7.43005	7.4644303	7.350956	7.4622436	7.400663	7.436933	7.519303	7.703591	7.4947743	7.8640347	7.727389
10243	8.174657	8.575059	7.9420323	8.273222	8.683396	9.155864	8.315049	9.445851	9.197073	7.552019	8.663397	8.738773
10244	10.651924	10.536727	10.824324	10.622509	9.236482	9.677348	8.578288	10.54271	9.785648	8.582215	9.995689	9.758979
10245	8.113126	8.233677	7.637094	8.351566	7.704868	8.431364	7.998434	7.7220635	7.5377836	7.3063517	8.195268	8.067466
10247	8.010026	7.670867	8.516021	6.8127375	7.6700735	7.4032087	8.1901455	8.684227	8.72634	6.452696	7.7817717	6.9070354
10249	8.615284	8.649342	7.741101	6.606984	8.179	7.12551	7.9276032	9.650175	9.264214	5.8242893	8.575531	5.9548893
1025	8.482278	9.135502	9.533212	9.209853	9.04846	9.513022	10.325548	9.334625	9.408633	8.932503	8.771295	9.147774
10252	9.013917	8.408387	9.293782	8.740922	10.28377	9.107606	8.872766	8.957767	9.00236	10.020109	8.5028	10.180967
10253	8.410502	8.059424	8.471582	7.7327886	8.384962	7.4833226	7.0227566	8.171727	7.6483335	7.5460906	6.993466	7.6360493
10257	8.171727	6.4650116	6.6450605	7.935011	7.349773	6.83888	6.9567575	6.646146	6.829524	7.9064984	5.783164	7.7603817
10260	6.821205	6.963757	6.879085	6.4102736	6.4786296	6.4376316	6.427439	6.653218	6.64702	6.3835754	6.4588366	6.3535213
10262	10.497194	10.127141	9.946474	10.287722	9.712165	10.388683	10.176962	9.6124	9.629954	11.320801	10.351933	10.168047
10263	8.203927	8.405308	8.212136	7.78984	7.3950768	9.846573	8.042453	7.209034	7.8922563	7.2769294	8.45658	7.9130807
10266	7.3735094	8.206926	8.0091505	7.4472117	7.325717	7.3839684	7.265834	7.4487133	7.5863333	7.226601	7.198761	7.690048
10268	6.622128	6.814895	8.04542	6.384439	8.094558	7.6092916	7.012599	8.361114	8.179	6.801184	6.700636	7.6706223
10269	10.342622	9.815662	10.231879	10.577397	10.616342	10.346107	10.329399	10.279595	10.480092	10.288592	10.643546	10.656164
1027	8.414292	8.38402	8.7160015	6.5504665	7.3185935	8.144554	6.9746	6.5766416	7.373954	6.914563	7.2903013	7.4492035
10273	8.4197855	9.451739	8.621594	9.11685	9.491863	9.884358	10.044957	9.327045	9.44407	8.733855	9.532034	9.390665
10274	8.115736	7.7611904	7.2351313	7.65637	7.643982	7.9742656	8.310389	7.491165	7.54426	8.347426	8.3757	8.031212
10276	9.401912	9.528138	8.744579	9.789788	9.466255	9.5801935	10.0427265	9.7104	9.936251	9.508372	9.962678	9.824548
10277	7.1657233	7.826274	8.003131	7.3584514	7.311595	6.7244573	7.9249673	7.2828736	7.0506845	7.2302465	7.4634066	7.1804533
10278	6.1698914	6.0155168	6.181467	6.271797	6.7898703	6.5712028	6.197458	6.0934215	6.3177676	6.5904546	6.250819	6.2065754
1028	6.127724	6.2826843	6.446639	9.172357	7.6090193	6.1108904	6.0215416	6.1343794	6.189082	6.5262556	5.9977193	6.2982974
10283	8.348458	8.078942	8.210739	8.989046	8.820392	8.541349	8.565586	8.346094	8.097391	8.931266	8.700842	8.751713
10285	7.6762714	7.7707567	7.8727965	7.4820943	7.070546	7.5977845	7.0028267	7.184407	7.064281	7.2155166	7.202514	6.9863687
10286	5.8310328	5.8822827	5.730539	5.924344	6.069786	6.1912546	6.253406	6.2223268	6.0114193	5.891741	6.0554314	5.8269563
10287	7.521912	8.01033	8.448686	8.346094	8.202935	7.3794327	8.340004	7.562419	7.825179	7.971831	7.2351313	8.427521
10289	8.8808975	8.328976	8.602591	8.61847	8.671327	8.851297	8.040632	8.601477	8.414292	8.677944	8.536745	7.9497237
1029	7.057157	6.27779	5.7795687	5.892559	6.151534	7.6768374	7.5975294	6.878876	5.939735	6.2948074	7.79905	7.0865664
10293	6.1464157	6.2501016	5.9183817	6.4602942	6.0851994	6.657338	6.2492347	5.988912	6.1694026	6.1694026	6.298692	6.168044
10294	9.693677	11.117589	10.927262	9.631079	10.235998	10.068402	9.941119	10.242548	10.704797	9.679698	10.1130085	9.363096
10297	5.9201994	6.006078	5.974262	6.0580316	6.0901093	6.1933365	6.2415113	6.3572307	5.8935795	6.177063	6.129567	6.007786
10298	7.623382	8.005753	7.309099	8.426779	7.397005	8.0091505	8.180024	7.391738	7.352649	8.390722	7.785369	8.057958
10299	9.344612	10.40557	9.466255	9.674831	8.731117	9.187161	9.651349	9.178139	9.918379	9.321762	10.282134	11.472244
103	11.529769	11.447327	11.358718	10.736925	10.867225	10.697189	10.565656	10.963808	10.821917	11.527945	11.255815	11.057139
1030	6.689621	6.6375837	6.39181	6.2149096	6.529341	6.784604	6.4476876	6.437046	6.3809314	7.7425356	6.9445314	6.4287863
