GSM2367647	GSM2367648	GSM2367649	GSM2367650	GSM2367651	GSM2367652	GSM2367653	GSM2367654	GSM2367655	GSM2367656	GSM2367657	GSM2367658	GSM2367659	GSM2367660
100874222	6.207162	6.137287	6.1648207	5.9711237	6.031203	6.1409802	5.8179274	5.893618	5.964706	6.150641	6.0508194	5.934437	5.8216963	6.0548477
100874234	6.485175	6.414727	6.3395615	6.2445116	6.4075923	6.2669578	6.2873726	6.368463	6.325502	6.3600245	6.264956	6.397402	6.2619514	6.370155
100874251	6.3454657	6.2322474	6.325947	6.378664	6.192139	6.0884905	6.027496	6.220077	6.261009	6.029667	6.1465187	6.154674	6.469827	6.3377957
100885850	8.834415	8.899995	8.740523	8.994265	8.594934	9.266468	8.807664	8.822128	8.912301	9.16737	8.800593	8.839411	8.864678	9.208426
10092	9.824548	9.441273	9.693042	9.628236	9.795514	9.494859	10.515675	9.67607	10.180967	9.88956	10.086473	10.020109	9.348387	10.254725
10093	9.522096	8.757239	9.476102	9.334625	9.218585	9.590732	9.851788	9.322925	10.185664	9.492278	9.839134	9.511271	9.223869	9.961902
10094	9.260111	9.414744	10.078509	8.806897	9.06638	10.005122	9.901188	9.831109	9.562414	8.72894	8.683813	9.71748	8.348458	8.61927
10095	7.2809196	6.9632325	8.246519	7.268835	8.456175	7.9276032	8.214071	7.1928287	8.815165	7.11716	8.26312	7.475454	7.353105	7.730316
10096	7.268835	7.305205	7.5075407	7.232677	7.1926017	7.1709914	7.533055	6.8901186	7.298235	6.7586465	7.2204795	7.1938057	6.887981	6.897908
10099	9.312301	9.629954	9.518731	8.943502	9.438408	10.706971	10.337527	9.178556	9.906493	10.087147	9.893392	10.171783	9.750558	10.127141
10101	7.497758	7.707222	7.113784	7.4654417	7.2656107	7.273427	6.9233675	7.298726	7.495977	7.8779893	7.6683626	7.1469526	7.186754	7.606185
10103	6.5245395	6.37218	6.1124864	6.48173	6.206135	6.3339686	6.283081	6.293318	6.424885	6.7147017	6.379069	6.301444	6.463082	6.601201
10105	6.48	6.69194	6.5454297	7.0482616	6.581233	6.371105	6.296099	6.8171554	6.317129	6.874584	6.8132653	6.278377	6.693002	6.7215724
10106	10.128745	10.700556	10.468932	10.097319	10.588978	10.217533	10.878725	10.33426	10.0378895	10.30091	10.787312	11.179601	10.159855	9.836415
10112	7.6752534	8.367295	7.917528	7.711229	6.9282513	8.189458	8.205189	6.367552	7.53279	9.198865	8.508551	6.245875	6.3501897	8.355731
10113	7.5050244	6.898654	7.7262645	8.050703	7.600987	7.548381	7.378542	8.361114	7.785088	7.442199	7.6739306	7.019201	7.810488	8.390347
1012	6.3270288	6.482586	6.043081	6.462268	6.2918577	6.372416	6.2975073	6.011914	6.210684	6.156706	6.382107	6.470102	6.395496	6.169743
10121	8.979449	9.562414	9.511271	9.046174	9.619161	9.973078	9.718578	9.313356	9.360176	9.197899	10.002147	9.7462435	9.519903	9.43352
