Genes	GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
10073	8.282634	8.597356	8.4980545	8.530983	8.621594	8.136494	8.139243	8.385604	8.269664	8.529146	8.389814	8.331336	8.055512	8.597689	8.253487	8.389438	8.122953	8.078393	8.070845	8.318928	8.338663	8.205189
10075	7.515242	7.1360707	7.611092	7.349059	7.766256	7.869919	7.3407044	7.622634	7.461272	7.3158174	6.9361205	7.5800424	7.3454943	7.3570147	7.3721313	7.3713875	7.421138	7.663334	7.6991925	7.5408573	7.369084	7.7441316
100750326	5.8105993	5.9482512	5.782491	5.820271	5.886842	5.8675995	5.8094454	5.8958697	6.0613294	5.7487783	5.833499	5.8090596	5.773583	5.8264723	5.9020524	5.7555704	5.6764245	5.7542615	5.648816	5.636747	5.8640747	5.807713
10076	6.1213894	5.926414	6.0264077	6.2501016	6.453334	6.0291758	5.883518	6.2077603	6.4495196	5.683064	5.8063254	5.8889885	5.971976	6.290833	5.959444	5.949252	5.9918466	5.933013	5.8151264	5.8633323	5.982259	5.912556
10079	10.257304	9.655859	9.822499	10.134887	10.363551	9.97111	10.977576	9.7799835	10.426572	9.867904	9.930451	9.88956	10.111589	9.744568	10.174759	10.4476	10.02225	10.374035	9.843108	9.136945	9.982991	9.482687
10081	7.959909	7.5942106	7.553525	7.441234	7.391009	7.6961203	7.4897013	7.6786776	7.7225537	7.787371	7.6450853	7.785369	7.7685246	7.844593	7.7215333	7.823569	8.153091	7.8071837	7.7895646	7.7357616	7.55007	7.9460435
10082	8.926903	8.632565	8.294233	8.077158	8.279969	8.555681	8.208822	8.118725	8.731568	8.289099	8.412463	8.234675	8.76776	8.594626	8.758006	8.869312	9.302812	8.616084	8.434921	8.467403	8.813927	8.631761
100861522	5.8394427	6.34723	6.145966	5.9426746	5.951184	5.9897923	5.9217706	6.1833515	5.8484592	5.9174037	5.9682813	5.692487	6.1120353	5.688674	5.9765825	5.4632936	5.843774	5.8617296	5.7393756	6.024609	5.639223	5.697121
100862704	7.194931	6.8523507	6.8507648	6.6369157	6.8728304	6.7386494	6.727623	6.912133	6.6827235	7.0496583	7.3528967	7.300086	6.784102	7.011232	6.965617	7.814136	7.188269	7.496515	7.0092745	7.0836487	7.160065	7.2430563
10087	9.894121	8.119799	9.163037	9.289619	8.694453	10.14401	9.423043	9.590732	9.479665	9.488368	9.142006	9.497052	9.002769	9.630564	9.176737	9.20941	10.322711	9.389602	9.643105	9.671709	10.110692	9.577265
100873955	6.2928762	6.085446	5.908005	6.0835776	5.9597907	6.1227107	6.11617	6.229861	6.085	6.1870008	6.1582932	6.1322823	6.201849	6.183083	6.12864	6.1740384	6.2377787	6.2603087	6.239091	6.2683344	6.1398454	6.340053
100874047	5.906677	5.8119993	6.133767	5.7811027	5.9838924	6.089283	5.901954	5.826549	5.9515085	6.113081	6.044463	6.051984	6.1457186	6.028494	6.1021266	6.251157	6.0408916	6.0479684	6.120253	6.004472	6.098266	5.9239283
100874064	6.534381	6.101241	6.150762	6.1113753	6.0925794	6.3359923	6.1557283	6.088966	6.2921395	6.3822584	6.157058	6.2750106	6.1343575	6.2597632	6.4794602	6.686566	6.4153714	6.7289844	6.5043	6.3541727	6.282913	6.1732965
100874107	5.8990602	6.1171927	5.953561	5.875908	5.9427524	5.8366804	5.777129	5.873941	6.001009	5.8394694	5.9095054	6.061662	5.737867	5.91189	5.755792	5.6826925	5.9687414	5.823112	5.886017	6.048334	5.932669	5.764967
100874222	6.033409	5.946762	6.039752	6.1067266	6.117862	6.0983276	6.111945	6.1269097	6.187208	6.105908	5.9759307	6.103766	6.020696	6.014107	5.9972024	6.085322	5.966421	5.963149	6.179587	5.9727154	6.152744	6.0850554
100874234	6.586791	6.42595	6.5370264	6.422662	6.4565544	6.44586	6.2919693	6.453963	6.446949	6.57157	6.767214	6.69523	6.4279165	6.777277	6.6740127	6.9346294	6.787948	6.5929794	6.8100157	6.7313623	6.5562634	6.515844
100874251	6.346355	6.5907173	6.3981004	6.35298	6.3077545	6.3835754	6.2522297	6.255375	6.3144445	6.371041	6.3656206	6.6201553	6.213608	6.118257	6.3960323	6.4592376	6.1863937	6.394127	6.3643003	6.4700036	6.1489954	6.348601
100885850	9.32858	8.500338	8.659957	8.305191	8.952584	8.520109	8.717201	8.904212	8.834833	8.419416	8.128272	8.496883	8.42354	8.652081	8.279969	8.670153	8.912678	9.052833	8.578731	8.5687065	8.7783375	8.80435
10092	10.060448	10.4634075	10.210631	10.115336	9.790977	9.971775	10.121512	9.866083	10.090883	9.864166	9.570441	9.608159	10.0551405	9.669755	9.548878	9.529136	10.022885	9.262221	9.838454	9.713301	10.655131	9.695999
10093	9.094527	9.577265	9.186654	9.040746	9.294725	9.230441	9.258563	8.877073	9.303805	8.872766	8.954355	8.787989	8.796859	8.847048	8.753699	8.865875	8.974618	8.685053	8.835173	8.847502	9.275685	9.139689
10094	7.90619	9.337285	8.9993305	8.5687065	8.578731	8.244178	8.953827	8.600776	8.078129	8.379913	8.079953	7.9675784	9.163037	8.448256	8.311317	8.332093	8.777616	8.505296	8.719845	8.266808	8.555681	8.156403
10095	6.8957014	7.458947	7.3574142	7.0161986	7.556803	7.2716274	7.5586333	7.067925	7.3888783	7.230048	7.1128945	7.3101974	7.473934	6.8660374	7.717482	8.140256	7.082594	7.1657233	7.226823	6.661331	7.4719076	7.0268407
10096	7.0760202	7.9494634	7.9846096	7.826274	7.6794543	7.7435546	8.1455555	7.7225537	7.820832	7.623088	7.409765	7.5621614	7.358909	7.0541296	7.2963014	7.25132	7.4774265	6.7750254	7.031054	7.248849	7.660125	7.4954443
