Genes	GSM2367621	GSM2367622	GSM2367623	GSM2367624	GSM2367625	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
1203	8.038753	7.757766	7.9086785	8.04755	8.195609	8.426011	8.091375	7.9965034	8.284316	8.234946	8.318216	8.233005	7.9346933	7.786791	8.165013	8.072793	8.006033	8.214071
120376	5.8539624	6.1633916	6.1448674	6.2598534	6.1250105	5.9297457	5.973522	5.8612885	6.0421724	6.0276055	5.8248334	5.8528233	6.063703	5.9122977	5.712441	5.669221	5.983975	5.758426
120425	7.611092	8.297653	7.7242565	7.274327	7.565181	7.8030677	7.980553	7.669755	8.388066	8.179369	7.298726	7.7357616	8.131796	8.048209	7.3932424	7.780905	8.454012	7.646342
120526	7.1804533	7.1914854	7.2424345	7.082802	7.2369347	6.914064	7.0086737	7.2694874	6.860599	7.055963	6.8717523	6.6831856	6.835178	6.673714	6.799713	7.0768247	6.7990246	6.795414
120775	5.9740977	5.9064226	5.831793	6.015714	5.7073374	5.961201	5.8661013	5.782509	6.0592537	5.958677	5.8288193	5.8308415	5.8688235	5.9798546	5.947473	5.789858	5.663234	5.908377
120892	6.2449455	6.3592935	6.370506	6.502748	6.539156	6.1350756	6.3969803	6.5494785	6.1092024	6.6135974	6.308061	6.360242	6.030451	6.155143	5.932693	6.205426	6.6356506	6.2058372
1209	10.337527	10.242548	10.885092	10.282988	10.45696	9.451739	9.867904	9.712165	9.08339	9.7163725	9.718578	9.62074	9.924436	10.025986	9.774268	9.794825	9.223869	10.079241
120935	6.2574005	5.9262567	6.681866	6.6220098	5.9654136	6.1073284	5.9791536	6.0411625	5.7251344	5.9064345	5.964528	6.472127	6.034276	6.3722544	6.018122	6.242564	5.801859	5.664404
121053	8.151105	7.8411846	7.393685	7.637373	7.512477	7.6072016	7.57671	7.88173	7.0832353	7.4957066	7.0863523	7.8620634	7.4262323	7.316771	7.3907714	7.541186	7.18718	7.6296153
1211	9.792218	9.721111	9.570441	9.616946	9.486777	9.278743	9.380544	9.575589	9.817502	9.667275	9.733723	9.695374	9.305852	9.284656	9.461924	9.523654	9.640306	9.635678
1212	10.951903	10.269186	10.374035	10.657191	10.612036	10.307335	10.37226	10.028337	10.646626	10.26489	10.161331	10.061919	10.379052	10.443741	10.136369	10.215815	10.304871	10.491528
121227	6.212342	6.6197877	6.592315	6.368463	6.6369157	6.4418507	6.2219815	6.430031	6.473688	6.584576	6.7366347	6.5755286	6.1638737	5.931081	6.3382916	6.864286	6.2965016	6.3411984
1213	7.358195	6.4115443	6.7460103	6.8247957	6.6178875	6.83888	6.698902	6.407249	6.579659	6.30078	6.6670356	6.397402	6.6274843	6.392519	6.7646236	6.3375936	6.758956	6.664162
121536	7.052147	7.0915637	7.0494685	6.940944	7.1296887	7.521686	7.362122	7.427787	7.775255	7.26511	7.4332314	6.9697323	7.346824	7.1375365	7.758248	6.984799	7.3328314	7.304324
