GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634
10157	8.044506	7.8866053	8.179	7.737384	8.68964	7.615598	7.411964	7.68451	8.203259
10158	6.0264373	8.529902	8.678676	6.874244	6.2281976	5.795847	6.4364023	5.5462737	7.7879252
10159	10.005122	10.840425	10.760095	10.831371	10.171783	10.511929	10.584649	10.164299	10.700556
10160	6.6761684	6.4635706	6.8210425	6.45322	6.826733	6.5184555	6.464433	6.3505473	6.276047
10163	7.962798	7.6967545	8.019057	8.124275	8.022192	7.5213633	7.6739306	7.2594414	8.210072
10164	6.1902556	5.941368	7.269069	8.917253	6.155057	6.122836	6.3763647	6.3211994	6.592469
10165	9.91121	10.057448	9.360642	9.15685	9.488368	9.891324	9.509541	10.730318	10.051944
10166	12.287691	11.259078	12.413751	11.322126	11.990116	12.0802	11.452258	11.819168	12.146019
10168	6.14122	6.104032	6.125566	6.371428	6.3295407	6.084398	6.192915	6.319237	6.3409934
10169	12.476757	13.018431	13.055703	12.829836	12.710842	12.388453	12.6320305	12.31749	12.433382
1017	8.418634	8.768145	8.270727	7.65445	8.297653	8.050703	8.227259	8.329626	7.685502
10170	5.88257	5.9362106	6.201927	6.030494	5.9724145	5.9962006	6.1463876	6.107775	6.057541
10171	10.101033	9.553959	9.446881	9.728868	10.4168415	9.121237	9.375587	10.742767	9.79284
10174	6.2397184	6.0926394	6.262967	6.0689273	6.092458	5.825608	5.942441	6.152859	5.865011
10175	11.3174095	10.104688	10.878725	10.409182	10.666171	11.179601	10.893995	11.204104	10.690923
10178	8.813927	9.1600895	7.560713	6.471113	5.8798814	6.563098	6.601992	7.172311	6.276896
10179	6.064144	7.021128	7.170588	6.828313	6.6973567	6.730865	6.543084	6.770976	6.532189
10181	10.497194	9.73633	10.052686	10.422004	10.271673	10.4292755	10.639428	10.082789	10.62161
10186	6.561415	7.3319283	6.793772	8.287098	6.555905	6.5848174	8.330983	6.627358	7.681229
