Genes	GSM2367587	GSM2367588	GSM2367589	GSM2367590	GSM2367591	GSM2367592	GSM2367593	GSM2367594	GSM2367595	GSM2367596	GSM2367597	GSM2367598	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
3614	8.441785	7.8461256	8.004069	7.8324337	7.898303	7.919799	8.063984	8.011293	8.0884495	7.851773	7.788508	7.6828356	7.6059275	7.788508	7.809898	7.9645233	7.820573	7.782571	8.058261	7.8359427	7.9287744	8.021885	7.446164	8.186631	7.624655
3615	10.340053	9.982314	10.109251	9.803905	10.269906	9.93963	10.30234	9.88956	10.578477	10.160563	9.814365	10.185664	9.572143	9.669755	9.956001	10.374035	10.398598	9.540729	10.44292	9.937658	9.741527	9.424649	9.478748	9.880468	9.711499
3621	7.039933	7.2903013	7.517473	7.536131	6.9390755	7.439832	7.336874	7.6405907	7.4446926	7.840607	7.4099965	7.3473186	7.711834	7.264479	7.4644303	7.494021	8.270354	7.2462792	7.6762714	7.2941265	6.9068475	7.089048	7.1938057	6.9149027	7.620032
3622	7.6288095	7.660125	7.8335834	7.660125	8.034298	7.727389	7.726016	7.856482	7.9228263	8.303065	7.6330557	8.182787	7.516991	7.8042264	8.027121	7.4695997	7.9273095	7.9393473	8.627674	8.30445	7.3185935	7.70912	8.0884495	7.8219805	8.105762
3626	5.9441767	5.879779	6.029051	5.8048606	5.844384	5.7604074	5.8078756	5.786247	5.9952803	5.7417483	6.009785	6.1310163	5.9473195	6.1490755	6.0114603	5.897338	5.982978	6.0987315	5.932158	5.958192	5.9485555	6.051764	6.113107	6.0716996	6.014416
3627	10.539681	11.223528	9.856401	9.523654	9.006868	9.153969	11.253856	8.463318	9.2051	9.611201	8.636426	8.09584	7.942624	7.8690147	7.485048	7.5052695	7.897676	8.970549	8.521226	8.886746	7.7309036	7.3732624	7.4052525	9.659981	7.695586
3631	6.5992966	6.4702163	6.260459	6.249576	6.2808785	6.3641195	6.4402175	6.2476892	6.3798957	6.3593626	6.356792	6.2268133	6.0206246	6.294914	6.241366	6.37804	6.0850377	6.506402	6.4770494	6.4899526	6.1828513	6.224073	6.3715134	6.5633736	6.3665833
3633	6.7750254	7.04766	6.628488	7.2130733	6.69474	6.7854095	6.8747916	6.986705	6.927313	6.631075	6.884147	7.4582295	7.2547975	7.3054323	7.330189	7.0340495	7.3706694	7.0948606	7.198557	7.0821548	7.045	7.039933	7.2007422	7.2638273	7.5553236
3636	8.84066	8.773665	8.731117	8.669391	8.582994	8.580738	8.435281	8.704754	8.687177	8.274509	8.84829	8.724086	8.819253	9.108983	8.763237	8.883801	8.5156765	8.898672	9.256502	8.740067	8.613097	8.9895	8.948148	8.844801	8.89519
3638	8.799787	8.367626	9.884358	10.082789	9.454593	9.492815	9.729509	10.113839	9.685831	10.616342	9.49651	9.672401	9.003685	9.399386	10.3151655	8.516697	10.523163	10.23938	10.122868	9.6124	8.921686	9.245982	9.874	9.01043	9.260111
364	6.2799444	6.8500943	6.7706733	6.8117647	6.326423	6.599913	6.4482574	6.300162	6.2969484	6.861928	6.914563	6.975156	6.834121	6.5297084	6.787948	6.32396	6.2131414	6.814578	6.65977	6.8016953	6.848678	6.8499293	6.776607	6.616707	6.8423543
3642	6.2346296	6.1146336	6.2664037	6.3215995	6.5436816	6.376524	6.171668	6.3073945	6.27247	6.599435	6.309255	6.404621	6.0129843	6.252958	6.206254	6.1787853	6.053486	6.303733	6.003713	6.299328	5.9460278	6.2327523	6.1438622	6.024521	6.227815
3646	12.886513	12.599885	12.710842	12.7213745	13.007992	12.7650795	12.918996	12.775695	13.091461	12.602926	12.599885	12.421774	12.731246	12.430471	12.621669	12.967784	12.694456	12.400581	12.952776	12.9566	12.5381565	12.608987	12.690937	12.819754	12.454196
3651	5.93361	5.768495	5.899112	6.0809054	5.9001894	5.842654	5.8631845	5.881404	5.915727	5.977178	5.8681784	5.9165707	5.7554207	5.8316813	5.908354	5.935091	5.8296113	5.786027	5.985214	5.777215	5.9094815	5.857775	5.851806	5.8870697	5.7768025
3652	6.663273	6.9612865	6.4992867	6.752181	6.668584	6.9377418	6.6488914	6.69194	6.6279097	6.803999	6.7133665	6.835178	6.715012	6.5132933	6.741947	6.413988	6.888669	6.741483	6.6923943	6.7280674	6.5127296	6.6600776	6.721709	6.854587	7.107459
3658	7.342861	7.3727584	7.2867103	7.577187	7.2473598	7.265834	7.36234	7.1921144	7.572636	7.1626153	7.547366	7.430532	7.4080906	7.611092	7.325475	7.244011	7.317751	7.432021	7.4854875	7.1996255	7.3839684	7.352649	7.1160765	7.190454	7.1557193
366	11.661828	13.301418	12.76833	13.325618	12.612223	13.099913	12.963807	12.960046	12.383456	13.217048	13.551489	12.983816	13.645321	13.195143	13.710435	11.866005	13.45992	13.222028	13.3151245	13.503182	12.963807	12.910939	13.579451	12.971914	13.439656
3661	7.8539205	8.289099	7.8508964	7.678919	7.538351	7.9267755	8.0521965	7.7399583	8.030979	7.682295	8.119437	7.9938545	7.762057	7.8458085	8.05885	7.5635195	7.847539	7.706231	8.337624	8.175938	8.208537	7.9130807	7.9990273	8.103321	7.8866053
3662	6.17771	6.2986326	6.037061	5.8759327	6.0773907	6.0752273	6.222288	6.040663	6.276999	5.819633	5.9700837	6.6354003	5.737776	5.8332424	5.62493	5.91842	5.798692	5.945742	5.8578362	5.9348526	5.838375	5.9153132	5.670099	5.741978	5.715243
3663	6.3013835	6.3190393	5.809244	5.736519	6.0696554	6.4076786	6.3200827	5.8993745	5.9944935	5.9074645	5.8899717	6.475041	5.7699323	5.874398	5.926583	6.1496396	5.7183337	5.6966414	6.019696	5.8717055	5.82997	5.859919	5.7570615	5.784683	6.0272717
3665	9.242084	8.827787	8.763679	9.14283	8.870666	9.457397	8.631445	8.883016	8.906866	8.970549	9.375587	8.912301	8.74975	9.037957	8.647617	9.263638	8.331336	9.26956	8.582215	9.238016	9.256502	9.201353	8.874459	9.014807	8.787532
3669	10.498278	9.886919	10.410967	9.654721	9.491294	9.766575	10.82071	9.982991	10.31334	10.549349	9.491294	9.3068695	8.995192	9.178987	9.252368	10.123606	9.642508	9.587935	9.32858	9.296328	9.043864	9.24801	9.069216	9.430836	8.527527
367	6.3577704	6.8523507	6.630538	6.4483557	6.4026976	6.7754984	6.6645837	6.7740717	6.414444	6.7194867	7.0268407	7.150088	7.0055118	7.0055118	7.0430655	6.306972	6.913896	7.0500703	7.2166386	7.436665	7.0917754	6.851257	7.3418794	6.901979	7.0195847
3673	7.507785	6.2659974	6.726383	6.4095035	7.14874	6.423483	6.7443066	7.0638337	7.212619	6.4584265	6.332736	6.385419	6.046697	6.0055256	5.8751206	7.9742656	6.161494	5.872225	6.0597234	6.1728024	6.124155	6.8020086	6.0664873	5.985888	6.0318418
3678	8.6795025	8.4816	8.468681	8.318928	8.464405	8.691641	8.459964	8.474432	8.556412	8.421543	8.366609	8.493416	8.231681	8.350269	8.208226	9.201776	7.90619	8.7654295	8.668243	8.628466	8.394819	8.700447	8.706595	8.534602	8.685053
3680	7.542276	7.328644	7.533055	7.1779714	7.373725	7.5621614	7.6964464	7.466845	7.3507514	7.549358	6.9026313	7.0595627	7.254117	7.6121817	6.9016457	8.211123	6.984269	7.320158	6.483105	7.3625584	6.9879584	7.620527	6.7890887	7.529025	7.277429
3688	12.949193	12.042642	12.507238	12.303679	12.529124	12.443503	12.454196	12.474402	12.380608	12.016303	12.25614	12.1406975	12.356443	12.11849	12.031248	13.301418	12.207834	12.26066	11.859741	12.073794	12.101879	12.490888	11.867982	12.637815	12.007329
3689	12.510259	11.979257	11.3814	11.821527	11.597159	11.37814	11.821527	11.626302	11.777439	11.129659	11.668313	11.059645	11.351988	11.191357	11.014857	12.22489	11.110684	12.062247	11.329948	11.4230175	10.923584	12.031248	11.232549	12.967784	11.031036
369	9.580945	9.480719	9.680314	9.765836	9.448994	9.715189	9.545423	10.02225	9.689886	9.51928	9.667275	9.699463	10.119266	10.137164	9.975304	9.632752	10.065573	10.1733465	10.106219	10.020109	10.310682	10.0306425	10.148689	9.989461	10.124225
3692	10.273257	10.493496	10.232591	10.234389	10.494623	10.045795	10.328507	10.167319	10.125595	10.735848	10.328507	10.141784	10.040591	10.015907	10.012411	10.03416	10.261086	9.622933	10.589896	10.329399	9.8977995	9.764521	10.140442	10.128745	10.36428
3693	9.688122	8.591037	9.112197	8.701191	9.331966	8.983315	8.901399	9.060794	9.211655	9.368272	8.397228	8.661563	8.4382305	8.148676	8.207543	9.476693	8.551245	8.954802	8.389814	8.395864	8.3349085	8.58573	8.141945	8.631445	8.107393
3697	11.297378	12.274843	11.855921	12.285403	11.458738	12.556025	11.741597	12.325027	11.281477	11.606185	12.5320835	12.353895	12.438751	12.451486	12.421774	11.410469	12.340424	12.111457	12.0997305	12.731246	12.660348	12.707638	12.523381	12.35095	12.5320835
3699	8.089099	8.220597	8.204531	8.251224	8.648002	7.779289	7.550287	8.823833	8.336987	8.055276	8.616965	7.757766	9.104896	7.840019	8.667475	8.76862	8.591037	9.119782	8.560821	9.053754	8.417491	9.40609	8.724423	9.040299	8.577907
37	13.000762	12.871467	12.694456	12.81282	12.544198	12.991496	12.5320835	12.832773	12.697895	12.35095	13.007992	12.960046	12.540969	12.996738	12.786045	13.06325	12.593081	12.512808	12.340424	13.043148	13.398167	13.35884	12.433382	12.647216	12.775695
3700	8.546571	9.270045	9.673591	9.841826	9.606342	9.171367	8.80525	10.01655	9.134059	8.55349	9.378878	9.550461	9.533792	9.0511675	9.310815	8.873635	9.374028	9.871947	9.3063345	8.793536	9.759604	10.4634075	9.742669	8.895598	9.255422
3702	7.9390593	8.1177845	7.832766	7.8881316	7.3392634	8.191788	8.852619	7.3950768	8.528252	7.859839	8.057674	7.268365	7.0448422	7.4560223	7.325717	8.591365	7.7085443	7.485968	7.431755	7.146091	7.268365	7.235563	7.107828	8.077472	7.066828
3705	8.185014	7.9725285	8.174338	8.031812	8.0558	7.435597	7.8849263	8.457682	7.8310485	8.098595	7.8753514	8.7464695	8.111822	7.97542	7.639518	7.6067157	8.156698	8.022532	7.957155	8.1177845	8.077808	8.082581	8.034298	8.289425	8.474432
3706	6.8844647	7.0047398	7.018214	7.062836	7.274983	7.377344	6.6827235	6.6162057	6.9350166	7.5664644	6.8576174	6.6956267	6.717868	6.7918	7.0306654	6.755993	7.2373414	6.772716	6.914064	7.4779263	6.469532	6.7325664	7.1437073	6.8395424	7.3101974
3708	6.9670997	6.842821	7.037005	7.034588	7.1152434	7.2869425	7.250672	6.7097445	7.3972435	6.7584743	7.056292	7.106049	7.0796194	7.2336164	7.120279	7.4043508	6.9300146	7.219606	6.7844453	6.651301	6.898654	7.1779714	6.7584743	7.006292	6.7457175
3714	7.119888	6.9838853	7.189786	6.794572	6.924082	6.852207	7.223573	6.757951	7.415587	6.8233047	7.0519366	6.3420362	6.34231	6.3962803	6.195477	7.084724	6.7074995	6.4008904	6.9917574	6.3518267	6.8314896	6.6875415	6.2047305	6.7617846	6.501068
