Genes	GSM2367567	GSM2367568	GSM2367569	GSM2367570	GSM2367571	GSM2367572	GSM2367573	GSM2367574	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
10076	5.809194	5.861245	5.97732	5.697121	5.9300094	6.0793214	5.90185	5.9576535	5.683064	5.8063254	5.8889885	5.971976	6.290833	5.959444	5.949252	5.9918466	5.933013	5.8151264	5.8633323	5.982259	5.912556
10079	9.825167	9.861093	9.956615	10.188095	9.912647	9.408076	10.096717	10.136369	9.867904	9.930451	9.88956	10.111589	9.744568	10.174759	10.4476	10.02225	10.374035	9.843108	9.136945	9.982991	9.482687
10081	7.848414	7.684227	7.7626624	7.9166884	7.7749877	7.7779	7.7348847	7.8293586	7.787371	7.6450853	7.785369	7.7685246	7.844593	7.7215333	7.823569	8.153091	7.8071837	7.7895646	7.7357616	7.55007	7.9460435
10082	8.35435	8.22395	8.4512615	8.167233	8.353659	8.37681	8.3349085	8.20784	8.289099	8.412463	8.234675	8.76776	8.594626	8.758006	8.869312	9.302812	8.616084	8.434921	8.467403	8.813927	8.631761
100861522	5.8297668	5.8391476	5.9835753	5.790917	5.838344	5.796604	5.657289	6.082153	5.9174037	5.9682813	5.692487	6.1120353	5.688674	5.9765825	5.4632936	5.843774	5.8617296	5.7393756	6.024609	5.639223	5.697121
100862704	7.054555	6.7981954	6.926588	6.9829755	7.1395903	6.7988176	7.007555	6.8815746	7.0496583	7.3528967	7.300086	6.784102	7.011232	6.965617	7.814136	7.188269	7.496515	7.0092745	7.0836487	7.160065	7.2430563
10087	9.179471	9.602189	9.322387	9.290091	9.615838	9.258563	9.506132	9.040299	9.488368	9.142006	9.497052	9.002769	9.630564	9.176737	9.20941	10.322711	9.389602	9.643105	9.671709	10.110692	9.577265
100873955	6.120586	6.044205	6.284468	6.0789475	6.047274	6.075156	6.288025	6.1825237	6.1870008	6.1582932	6.1322823	6.201849	6.183083	6.12864	6.1740384	6.2377787	6.2603087	6.239091	6.2683344	6.1398454	6.340053
100874047	6.1176753	6.0308404	6.0323544	6.0404687	5.9367056	5.9394116	6.1040783	6.029367	6.113081	6.044463	6.051984	6.1457186	6.028494	6.1021266	6.251157	6.0408916	6.0479684	6.120253	6.004472	6.098266	5.9239283
100874064	6.2653284	6.44155	6.5135083	6.0252805	6.267552	6.236366	6.5576963	6.3111835	6.3822584	6.157058	6.2750106	6.1343575	6.2597632	6.4794602	6.686566	6.4153714	6.7289844	6.5043	6.3541727	6.282913	6.1732965
100874107	5.9525027	5.9347157	5.970134	5.79167	5.9211445	5.9879894	5.769368	5.651219	5.8394694	5.9095054	6.061662	5.737867	5.91189	5.755792	5.6826925	5.9687414	5.823112	5.886017	6.048334	5.932669	5.764967
100874222	5.9430075	6.008249	6.154877	5.9652314	6.059839	6.125865	6.071423	6.027107	6.105908	5.9759307	6.103766	6.020696	6.014107	5.9972024	6.085322	5.966421	5.963149	6.179587	5.9727154	6.152744	6.0850554
100874234	6.561673	6.751453	6.5533924	6.342806	6.596281	6.478205	6.551316	6.586932	6.57157	6.767214	6.69523	6.4279165	6.777277	6.6740127	6.9346294	6.787948	6.5929794	6.8100157	6.7313623	6.5562634	6.515844
100874251	6.679848	6.4207344	6.515394	6.327884	6.50086	6.4109845	6.480898	6.3032074	6.371041	6.3656206	6.6201553	6.213608	6.118257	6.3960323	6.4592376	6.1863937	6.394127	6.3643003	6.4700036	6.1489954	6.348601
100885850	8.453352	8.728507	8.3097315	8.464029	8.86302	8.578288	8.591037	8.4980545	8.419416	8.128272	8.496883	8.42354	8.652081	8.279969	8.670153	8.912678	9.052833	8.578731	8.5687065	8.7783375	8.80435
10092	9.715821	9.418343	9.730598	9.576093	9.930451	9.657507	9.706829	9.697326	9.864166	9.570441	9.608159	10.0551405	9.669755	9.548878	9.529136	10.022885	9.262221	9.838454	9.713301	10.655131	9.695999
10093	9.031305	8.938532	9.240481	9.020817	9.1094475	8.926903	9.022558	8.932097	8.872766	8.954355	8.787989	8.796859	8.847048	8.753699	8.865875	8.974618	8.685053	8.835173	8.847502	9.275685	9.139689
10094	8.560424	8.497645	8.661563	8.244178	8.162755	8.525261	8.364871	8.146539	8.379913	8.079953	7.9675784	9.163037	8.448256	8.311317	8.332093	8.777616	8.505296	8.719845	8.266808	8.555681	8.156403
10095	7.235563	7.2124147	7.1725044	7.1422243	7.311595	6.8576174	7.4041095	7.622394	7.230048	7.1128945	7.3101974	7.473934	6.8660374	7.717482	8.140256	7.082594	7.1657233	7.226823	6.661331	7.4719076	7.0268407
10096	7.260174	7.5287404	7.447937	7.2302465	7.5008125	7.6849456	7.3056655	7.5896378	7.623088	7.409765	7.5621614	7.358909	7.0541296	7.2963014	7.25132	7.4774265	6.7750254	7.031054	7.248849	7.660125	7.4954443
10099	9.074002	8.589536	9.136464	8.977312	9.069738	9.4656725	8.861339	8.841832	8.668631	9.335211	8.561928	9.219633	8.897308	9.090221	8.366963	9.112197	8.948596	9.118798	8.929038	9.373099	9.250995
10101	7.5322747	7.4711723	7.17657	7.2246623	7.234924	7.0583153	6.99274	6.963757	7.400234	7.3814263	7.234924	6.6116543	7.234924	7.183556	7.335349	7.3843946	6.7662325	6.937174	7.2589746	6.8724756	7.1029778
10103	6.7866755	6.493022	6.2911096	6.6327906	6.4279165	6.5316324	6.5303874	6.591856	6.7101727	6.663273	6.8556805	6.3673353	6.5013065	6.6373124	6.4488363	6.482803	6.7833447	6.6316667	6.650853	6.6214333	6.3963747
10105	6.8686686	6.7398887	7.28604	6.949424	7.384639	7.5396547	6.7573233	7.17458	6.4548297	6.8363934	6.807648	6.8150682	6.8890395	6.270883	6.8336105	6.9661527	7.0519366	6.854409	6.8132653	6.8058395	7.816827
10106	10.331852	9.947838	10.339169	10.376383	9.974591	10.116856	10.288592	10.020109	10.591804	10.422004	10.269906	10.071504	10.356011	10.338417	10.77699	9.597448	10.664116	9.914152	10.287722	9.831798	10.032897
10112	6.1178846	5.884815	6.0202956	6.0791426	5.9598656	6.1579685	5.988044	5.891412	6.0790563	6.0789475	5.883702	6.1678295	6.157058	6.3321047	5.853349	6.2743382	5.9237547	5.9283414	6.0730963	6.8839602	6.10726
10113	7.402283	7.455546	7.18718	7.6403255	7.450151	7.0164137	7.600712	7.337359	7.669755	7.8846445	7.8196273	7.2642856	7.233122	7.6503034	7.5842466	7.8533607	7.997552	7.832766	7.4390593	7.8902903	7.762897
1012	6.1931553	5.958265	5.9901032	5.9117737	5.7800336	5.9543753	5.780702	5.954235	6.104849	5.806046	5.8728623	6.4511538	5.98512	6.1785846	5.865846	5.9093423	5.946841	6.0793967	5.780702	6.837297	5.775139
10121	9.247502	9.006411	9.190598	9.082955	9.264214	9.21409	9.166853	9.235448	9.135502	9.139689	9.198865	9.547748	9.086846	9.017979	9.216053	8.993844	9.215087	9.153474	8.869312	9.316388	9.045284
10123	6.494097	5.9656014	6.4235835	6.1363506	6.0745254	6.234455	6.319826	5.961765	6.0619545	6.1388326	6.051624	6.7354054	6.133811	6.378985	5.916355	6.2599034	6.0847197	6.186861	6.0559845	6.320938	6.443647
10124	7.827139	7.723734	7.6574593	8.06464	6.9520826	7.6991925	7.8802443	7.622867	7.5114546	7.5195427	7.663334	8.062715	7.901299	8.101271	7.248649	7.8640347	7.443917	7.8054123	7.6087804	7.938163	7.386264
10125	6.2993846	6.1259947	6.5112767	6.275992	6.1493874	6.0242267	6.261108	6.178494	6.115469	6.0106406	6.060329	6.487513	6.075156	6.2384768	6.0744424	6.136586	5.985579	6.036663	6.170591	6.726819	6.4081182
10127	7.7815223	7.9163485	7.5372014	8.003739	7.839756	7.8654532	8.179678	7.9025435	7.8238273	8.02153	7.7220635	8.181165	7.746891	7.6416364	7.3925066	7.807427	8.454012	7.8135886	7.869919	7.9019303	8.0624275
10129	6.5657725	6.669296	6.384925	6.3491635	6.2911654	6.501068	6.4974084	6.491336	6.5626006	6.2481546	6.485288	6.4845123	6.3935256	6.4171076	6.404195	6.360783	6.324333	6.6640043	6.351768	6.5477133	6.2476406
10134	10.732554	10.752214	10.941224	11.120401	11.220419	10.955937	10.885092	10.937441	10.713181	11.086757	10.629734	11.077098	11.255815	11.186961	10.974931	11.23981	11.124356	11.385914	11.095155	11.404011	11.099021
10135	9.812016	9.855102	8.716365	8.319269	9.133574	8.731568	9.351452	10.065573	8.916372	9.203203	9.642508	10.039229	8.78669	9.762675	8.609021	8.784344	10.091738	10.017293	8.989946	8.156698	8.91424
10137	7.587041	7.5408573	7.695586	7.715312	7.598509	7.683954	7.727389	7.674708	8.009724	7.9287744	7.995313	7.975686	7.564623	7.8912096	7.634181	7.8914833	7.6860623	7.52848	7.8884625	7.7907386	7.67791
10138	7.54426	7.750684	7.663551	7.8090563	8.01033	7.724565	8.042115	7.944485	7.690048	7.914852	7.6722717	7.979375	7.718744	7.8866053	7.705679	7.830209	7.9109955	7.763702	7.8912096	7.677355	8.049773
10139	6.1564837	6.3856544	6.3293223	6.5619783	6.412699	6.650035	6.221824	6.510172	6.678199	6.26461	6.1794524	6.339626	6.154318	6.3668103	6.209338	6.5495987	6.458225	6.333493	6.5109315	6.4364023	6.1651587
10143	6.252124	6.1657248	6.2015142	6.064274	6.029284	6.294029	6.0834556	5.858727	6.3697953	6.0143194	6.23599	6.130017	6.1972995	6.3605676	6.380712	6.2976866	6.031304	6.1957994	6.212145	6.204652	6.072864
10144	10.069153	9.380066	9.778606	10.43363	9.908599	10.7693205	9.442976	8.9851	9.757736	9.419908	9.878501	8.581045	9.970255	9.388181	9.79284	10.0559025	8.748859	8.948148	9.981683	9.638455	9.933917
10147	6.883385	6.686823	6.724311	6.4796615	7.0225544	6.923916	6.9156566	6.7831807	6.580821	6.5200305	6.8927927	6.4959173	6.5615525	6.60325	6.6088634	6.7611737	6.9339085	6.759127	6.482586	7.2642856	7.315587
10148	7.9538226	7.730316	7.448976	7.320588	7.7292614	7.607496	7.661437	7.621322	7.76175	7.6067157	7.620284	7.6950626	7.716943	8.321275	7.4636583	8.452366	7.131829	8.6830015	7.3411665	8.833677	7.57648
10150	8.533036	8.291591	8.005753	8.607059	9.0340805	8.783916	8.920762	9.225297	7.8620634	8.701191	8.847048	8.618893	8.588046	8.922137	7.45426	8.3275795	8.632565	8.868831	8.393309	7.801262	8.201064
10153	10.454093	10.57451	10.389565	10.33024	10.171783	10.323584	10.519452	10.499246	10.361123	10.361123	10.541639	10.901458	10.54067	10.594818	10.555879	10.386968	10.893995	10.563805	10.340916	9.990126	10.16942
