GSM2367610	GSM2367611	GSM2367612	GSM2367613	GSM2367614	GSM2367615	GSM2367616	GSM2367617	GSM2367618	GSM2367619	GSM2367620
10237	10.4347	10.299416	10.5259905	10.679755	10.481065	10.844062	10.997051	10.549349	10.932449	10.316828	10.564789
10238	8.611618	8.937714	8.563016	9.188711	8.67636	8.838542	8.775299	8.392575	8.736009	8.911842	8.738773
10240	9.528138	9.892713	9.528651	9.707983	9.973804	9.789159	9.881921	9.634565	9.535411	10.160563	9.9298
10241	8.134813	8.372688	7.9119077	8.048209	7.8033333	7.883776	7.365885	7.603664	7.21283	7.4945593	7.617579
10243	9.099276	8.342469	8.952584	8.514565	9.192639	8.902628	9.437281	9.192111	8.777616	8.30273	9.230997
10244	10.864395	10.5796175	9.547236	9.973804	10.99321	9.260565	10.72023	10.697189	10.619372	10.564789	11.110684
10245	7.5008125	7.977914	7.979375	8.636805	7.867328	7.8860316	7.6768374	7.701891	7.877418	7.588602	7.695836
10247	8.964829	9.472891	9.743301	8.347121	8.597028	8.035123	8.195268	8.092936	7.5260267	8.366609	8.326963
10249	9.529136	10.050403	10.386031	9.286631	10.086473	10.124857	9.111242	9.935455	8.745229	8.274202	9.744568
1025	9.833807	8.825346	8.728507	8.888857	9.936948	9.594318	9.829011	10.220746	9.31029	9.958525	9.989461
10252	8.869312	8.847941	8.185014	8.616084	8.364871	7.820573	8.169803	8.502413	9.325551	9.806745	8.794378
10253	8.638378	7.8690147	8.550123	7.6241565	8.094848	8.163467	7.9249673	8.175259	7.787105	8.576682	8.422534
10257	6.526372	6.9620004	6.574368	7.3972435	6.0924373	6.239305	6.214307	6.455796	7.0453954	6.37135	6.6923943
10260	7.0393286	7.108876	7.2797723	6.8678274	6.84252	6.9746	7.3310156	6.8492193	7.1917024	7.4526033	7.1786337
10262	9.031773	9.608845	8.806447	10.031359	9.5241585	9.105323	9.570931	9.588469	9.738315	9.735689	9.664089
10263	8.748496	7.8584485	7.417641	7.951694	8.171727	8.134164	8.796075	8.059424	7.435597	7.882617	7.8846445
10266	7.410761	7.1296887	7.017231	7.2270327	7.422444	7.271393	7.4904227	7.3778644	7.448976	7.5880756	7.5944557
10268	7.268835	6.803519	8.65172	7.121452	7.6105638	7.595861	8.7464695	7.7145233	7.842058	8.0136175	7.838781
10269	11.013625	10.57451	10.476246	10.437664	10.323584	10.296077	10.291102	10.361123	10.552101	10.28377	10.661137
1027	8.538337	8.124929	8.492962	8.352256	8.504456	8.092635	8.335587	7.753325	7.782043	8.136494	7.941709
10273	9.081993	9.268102	9.128438	9.420956	9.374541	9.431748	9.38307	9.359687	9.555147	8.607855	9.236482
10274	7.57648	7.7976375	7.7600527	7.900997	7.824105	7.7572517	7.690272	8.07179	7.8102274	7.861513	7.8727965
10276	9.895337	9.725399	9.590732	10.028337	9.587935	9.708625	9.60097	9.614062	9.748086	9.52468	8.998463
10277	7.8922563	7.928472	7.3939185	7.954435	7.8696184	7.6574593	7.8684683	7.7248445	7.6458125	8.076518	7.564378
10278	6.2192326	5.944134	6.0534015	6.092415	5.956048	6.299144	5.955016	5.981723	6.244328	6.202004	6.3357177
1028	6.316051	5.980329	6.290028	6.0849576	6.203268	6.175488	6.265176	6.1368475	6.0873985	6.3890777	6.015828
10283	8.287098	8.488368	8.268391	8.427521	8.093253	8.205892	8.151399	8.231994	8.426779	8.051907	7.852264
10285	7.753626	7.95288	8.071443	7.207665	7.4358673	7.6350107	7.5292478	7.4615097	7.8054123	7.8768325	7.817383
10286	5.7129655	5.838344	5.9859123	6.1463313	5.888828	5.964741	6.0337396	5.748113	5.800762	5.8401194	5.8030205
10287	7.4719076	6.949226	7.5543027	7.664609	7.484518	7.5208063	7.762057	7.182269	7.70912	7.5861	7.485048
10289	9.107606	9.050246	8.511568	8.269998	8.865114	8.995192	8.669023	8.840243	8.659957	8.239635	8.998888
1029	5.8832574	5.9554057	5.8569922	7.2404013	5.7833056	5.735638	5.9741654	6.532935	5.900822	5.8511543	6.165809
10293	6.195934	6.0204935	6.401847	6.2485256	6.189495	6.138227	6.0492663	6.127263	6.078693	6.1599364	6.1055427
10294	10.970113	11.273318	10.159855	11.186961	10.837254	10.482074	10.692983	10.394032	10.158389	10.97134	10.722264
10297	5.929287	5.936683	5.8750477	5.790519	5.9233956	5.820271	5.9350553	5.9748034	5.9059763	6.1155367	5.974358
10298	7.291626	7.427126	7.550764	7.7228656	7.718109	7.45184	7.5491204	7.5997005	7.788508	7.679185	7.5614176
