GSM2367621	GSM2367622	GSM2367623	GSM2367624	GSM2367625
10505	6.8458543	6.4954906	6.525231	6.4943376	6.365547
10507	7.1341634	7.894025	7.1097593	7.2137337	7.8498664
10514	6.1960173	6.55806	6.293381	6.6148586	6.1457186
10516	6.8407283	7.782864	6.983326	7.0872245	7.1210546
1052	11.037276	12.843142	12.071855	12.253926	12.337814
10521	7.8293586	7.5262704	7.8122168	7.3816724	7.869312
10522	7.2591968	7.093225	6.788752	6.971388	7.4627123
10523	7.4798303	7.6911163	7.452839	7.5925612	7.684227
10524	6.6734767	6.731664	6.7406993	6.7336826	6.625869
10525	9.436786	8.896774	9.239508	8.701535	8.76862
10527	6.2231207	6.598905	6.4234014	6.5749984	6.1718903
10528	6.984419	7.286317	7.323612	7.6140075	7.076445
10529	6.303035	5.8545804	5.857197	5.935091	5.7284665
10535	6.70436	6.720366	6.4435596	6.4912424	6.84667
10537	12.217384	12.875469	11.811203	11.338077	11.390719
1054	9.419908	9.461347	9.780593	9.85119	9.62944
10540	10.296077	9.988779	10.409991	10.289491	9.961902
10541	11.620493	11.886816	11.226491	11.571291	11.151178
10544	6.308363	6.6192274	6.5107303	6.4457593	6.678785
10549	12.097547	11.815379	12.210118	12.003355	10.815777
10550	10.731487	10.312453	10.27887	9.4879265	10.410967
10552	10.874463	10.013137	10.72353	10.663245	10.022885
10553	10.687492	10.180106	10.941224	10.53773	9.651875
10554	8.401417	7.9273095	8.036032	8.078658	8.579174
10556	5.7586584	5.848301	5.988168	5.965806	5.900922
10564	7.1307063	6.897908	6.8537116	6.776607	6.766568
10565	6.783942	6.394213	6.560311	6.5560164	6.340579
10566	6.1677704	6.3397694	6.42595	6.3825035	6.1756086
10569	7.9210052	7.9160466	7.666771	7.907635	7.503587
10572	9.178987	9.314354	9.455734	9.543746	9.928444
10573	7.3593326	7.3888783	7.568508	7.418772	7.2867103
10574	8.214385	8.777616	8.210422	8.913172	7.79275
10575	6.8688235	6.676452	6.5767503	7.056957	6.7142873
10576	9.551615	9.797355	9.7163725	10.022885	9.300491
10577	13.761512	13.486113	12.963807	12.657106	13.126128
1058	6.2141447	6.332393	6.3091345	5.856574	6.0287876
10580	6.0197544	6.280386	6.126067	6.321665	6.2668066
10584	5.8820863	7.156817	6.2191486	6.749274	7.3418794
10585	7.6733856	7.5277066	7.6280036	7.823569	7.9309106
10587	8.65664	8.8605385	8.718695	9.336163	8.5156765
10589	10.248046	10.048162	10.069153	9.867337	10.233471
1059	10.33426	10.126445	10.15507	10.200903	10.490488
10590	9.152074	6.8048363	6.818032	7.143942	6.818756
10597	8.447578	8.439545	7.869919	7.7218037	7.836524
10599	9.502085	9.288664	9.283101	9.120302	9.600394
10600	5.991888	5.895688	5.694859	5.807081	5.9869075
10602	6.0380373	6.155525	5.713249	5.9118366	6.024152
10607	6.8826375	6.9797416	7.0589037	7.063214	7.133369
10608	9.542421	9.355499	9.547236	9.68231	10.194111
10609	6.005625	6.874244	6.4544406	6.201623	6.625573
10611	7.1839743	6.990328	7.1906505	6.8016953	6.6753244
10612	6.3958473	6.798342	6.590071	6.8631244	6.8115945
10613	6.8774676	7.3082356	7.1777616	7.2547975	7.5155215
10615	6.931692	6.1445985	6.6996365	6.5932374	6.3649983
10616	7.5252476	7.548381	7.785369	7.833337	8.505296
10617	9.523654	9.223869	9.384034	9.744568	9.305852
1062	7.0456095	6.556829	7.0458016	6.34723	6.3708086
10622	6.3430724	6.0097203	5.9303436	5.9271812	6.0278506
10623	8.937714	9.350977	9.084166	9.278112	8.91507
10627	11.642978	12.148287	12.173406	12.731246	11.141687
10628	10.922531	10.318518	11.28015	10.938668	11.120401
10629	8.329626	8.454423	8.635339	8.561559	8.85824
1063	6.250869	6.628488	7.3388233	6.1522536	6.4272404
10631	5.908208	5.814551	5.9972997	5.8395095	5.8559575
10632	7.913366	8.141594	8.07212	8.631761	8.139933
10634	6.338356	6.2265544	6.1759996	6.3086762	6.503963
10635	6.8913426	6.698902	6.761656	6.342589	6.56816
10641	9.260111	9.68231	9.178987	9.447287	9.577265
10642	5.956967	6.122931	6.081993	6.1322823	6.0205655
10643	6.505617	6.152197	7.417641	6.263062	6.591244
10644	6.574368	8.116906	6.596661	7.0673037	8.339655
10651	8.34428	8.039665	8.214705	8.235221	7.6991925
10653	6.771436	9.128942	7.0178084	7.0028267	7.0963845
10655	5.95206	5.8796854	6.0943885	5.910035	5.932109
10656	6.790816	6.567493	6.6603646	6.961499	6.2479234
10657	10.562741	10.683285	10.620394	10.298582	10.278072
10659	6.095104	6.602995	6.042549	6.3183494	6.388347
1066	10.3151655	9.722341	9.150113	10.15507	9.356498
10663	6.2331233	7.0853205	6.3521214	6.432258	6.6959124
10664	7.914547	8.392914	8.082883	7.9790688	8.1520405
10666	5.632867	6.252764	5.880102	5.8865275	5.7765903
10668	8.067466	7.654174	7.695836	8.097711	7.526969
10671	6.2503347	6.06704	6.2078934	6.2917066	6.1099114
10672	7.9219027	7.1422243	7.174013	7.3636665	6.8704333
10677	6.3935256	6.371105	6.720366	6.6406693	6.7825456
1068	5.947616	6.2372932	6.2910643	5.9494443	6.300958
10681	6.819055	6.2762723	6.515514	6.865705	6.4244847
10686	5.8957787	5.8262634	6.0205264	5.919886	5.866547
10687	6.525464	6.925021	6.6723213	6.6356506	6.753292
1069	10.165764	10.446801	10.395784	10.20489	10.2684
10691	6.900568	7.15487	7.0411334	7.1005793	6.996953
10693	7.205259	7.0490503	6.773055	6.795414	7.3789744
10695	7.5080624	7.9210052	8.222036	8.092307	7.3538704
107	8.601477	7.408834	7.7007976	6.743373	6.832576
1070	5.9643807	5.8726406	5.8396535	5.9545283	5.8138394
1071	7.8315682	10.098029	9.590732	9.488971	10.015907
10712	8.334195	8.298378	8.348196	8.417144	8.543422
10713	8.568358	8.236564	8.464796	8.715597	8.6818695
10714	6.6426325	6.695082	6.6625705	6.569673	6.405959
10717	8.364871	8.365505	7.9929924	8.126604	8.361789
1072	12.207834	11.342964	11.468865	11.220419	11.437318
10726	11.6025	11.351988	11.6025	11.842459	11.513868
10728	8.95646	8.5826	9.11836	9.274668	8.360085
10732	6.8355527	7.5287404	7.557561	7.5842466	7.9477973
10733	7.1729336	6.606984	6.581233	6.1847987	6.322919
10734	7.529025	6.8160653	6.517453	7.65445	7.264479
10736	6.061824	5.903971	5.94312	6.224324	5.975709
10741	6.6642985	6.5300593	6.4161735	6.6528068	6.436104
10743	6.4369445	6.5028524	6.578645	6.5909615	6.4026976
10744	7.1465197	7.0113974	7.099575	7.187605	7.259943
10747	10.0306425	9.409681	9.946474	9.6395445	9.458516
10749	7.194931	7.17	7.223573	7.5322747	6.8728304
1075	8.575531	9.3778	9.519903	9.235972	8.231994
10752	5.997393	6.151534	6.25449	5.9766574	6.1217036
10755	9.5912895	9.472891	9.741527	9.668582	9.519903
10762	6.1651587	5.8709826	6.041228	5.9616213	5.89526
10763	6.4670167	7.5349336	6.723391	6.3584285	6.934266
10765	8.016676	8.745229	8.834415	8.554604	8.209715
10766	6.80629	7.1763783	6.8815746	7.209034	7.365096
10768	11.162977	10.779373	11.012395	10.974931	11.633593
10772	6.546248	6.5755286	6.403939	6.7188754	6.2679834
10775	7.703591	7.3063517	7.0760202	7.316558	7.0401497
10776	9.090221	7.883178	8.046008	8.371918	7.9225354
10777	6.2939086	5.727466	6.0528913	5.9306912	6.05471
10780	6.1023545	6.8000283	6.9702954	6.8821073	7.0815306
10782	6.116357	6.167618	6.15679	6.6483483	6.029126
10783	9.481303	9.119302	9.026661	8.908049	9.327533
10785	8.033037	8.286056	7.8274198	8.267763	7.9231367
10788	9.08378	9.491863	10.070012	9.646514	10.308875
10791	11.409076	10.932449	11.063725	11.689592	10.963808
10794	6.135829	6.2596183	6.129968	6.15136	5.9164324
10797	6.5183372	6.8518453	6.5374255	6.4339976	6.170458
1080	5.978733	6.396458	6.094617	5.964741	6.218168
10801	12.889882	12.133341	12.493648	12.133341	11.7697935
10802	7.2991824	6.994832	7.2939043	7.188984	7.071341
10806	6.4496017	6.5093107	6.840246	6.5048304	6.4050064
10808	8.9913025	9.341571	9.294253	9.868553	8.53496
10809	12.066697	11.297378	11.186961	11.520447	11.972821
1081	6.2375994	6.109097	6.693972	6.0663443	6.0803747
10811	7.8495917	7.6637797	7.4823656	7.5213633	7.9990273
10814	5.748832	5.7800145	6.0097046	5.808193	5.8533106
10815	6.275197	7.0100613	7.239711	6.9817944	7.68928
10817	6.993466	7.0047398	7.1296887	6.897908	7.532515
10818	5.81374	6.101821	5.9527216	5.8839746	6.1148725
1082	6.336896	6.157791	6.3532133	6.213293	5.8425198
10826	6.47534	6.845684	6.276999	6.5965195	6.8008633
10827	6.67849	6.996785	7.226823	6.938913	7.2037907
10844	7.7338424	8.73715	8.45658	8.752882	8.641427
10845	9.043407	9.184349	9.367687	9.804636	8.836432
10847	6.1434946	6.2782745	6.116887	6.183849	6.437247
10848	7.0496583	6.821408	7.2616186	6.953578	6.7289844
10849	6.305489	6.109988	6.2607555	6.1579065	6.063816
10866	9.956615	10.48663	9.27313	9.986575	9.956615
10867	11.773553	11.620493	11.576763	11.117589	12.687866
10870	9.845257	10.30234	9.246995	9.268102	9.765836
10873	5.8977304	5.9409337	5.9192567	5.793676	5.816576
10875	8.705474	9.60502	8.4655	8.441047	8.515331
1088	5.9977455	5.807806	5.8612084	6.077056	5.950322
10888	6.266104	6.094617	6.108346	6.2206125	6.226857
10891	9.84722	10.403578	10.292872	10.296997	10.394827
10892	7.3362393	7.1037498	7.3418794	7.319666	7.26294
10894	5.9065385	6.644805	6.6864185	7.338595	6.460196
10897	10.918904	10.522266	10.079241	10.497194	10.224594
10898	10.109251	9.452349	9.414744	9.925775	10.21511
10899	12.152427	12.660348	12.325027	12.738255	12.496276
109	8.104502	8.823833	8.126278	7.939624	7.943248
