Genes	GSM2367610	GSM2367611	GSM2367612	GSM2367613	GSM2367614	GSM2367615	GSM2367616	GSM2367617	GSM2367618	GSM2367619	GSM2367620	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
100874047	6.0106688	5.847074	5.912072	6.1625705	5.894595	5.817912	5.9264274	5.781876	5.886117	5.779219	5.9593916	6.113081	6.044463	6.051984	6.1457186	6.028494	6.1021266	6.251157	6.0408916	6.0479684	6.120253	6.004472	6.098266	5.9239283
100874064	6.2161884	6.2799444	6.095651	6.294864	6.192533	6.2763767	6.2407913	6.312864	6.4362926	6.401226	6.455395	6.3822584	6.157058	6.2750106	6.1343575	6.2597632	6.4794602	6.686566	6.4153714	6.7289844	6.5043	6.3541727	6.282913	6.1732965
100874107	5.7877913	5.9723763	6.0537586	5.982477	5.872746	5.89183	5.981736	5.9068785	5.990534	5.8976274	6.1254215	5.8394694	5.9095054	6.061662	5.737867	5.91189	5.755792	5.6826925	5.9687414	5.823112	5.886017	6.048334	5.932669	5.764967
100874222	6.2773204	6.068908	5.922298	6.0238943	6.301085	6.009238	5.981998	6.1766376	5.983551	6.1384187	6.140202	6.105908	5.9759307	6.103766	6.020696	6.014107	5.9972024	6.085322	5.966421	5.963149	6.179587	5.9727154	6.152744	6.0850554
100874234	6.579659	6.484209	6.33708	6.4184685	6.321004	6.6175065	6.459058	6.792446	6.5788665	6.4702163	6.4549093	6.57157	6.767214	6.69523	6.4279165	6.777277	6.6740127	6.9346294	6.787948	6.5929794	6.8100157	6.7313623	6.5562634	6.515844
100874251	6.3445873	6.3488812	6.284468	6.380712	6.450391	6.4041114	6.153181	6.425855	6.382746	6.327234	6.2332845	6.371041	6.3656206	6.6201553	6.213608	6.118257	6.3960323	6.4592376	6.1863937	6.394127	6.3643003	6.4700036	6.1489954	6.348601
100885850	8.683813	8.894354	8.61275	9.2797575	8.843106	8.908463	9.111727	8.561928	9.023489	9.170376	8.820392	8.419416	8.128272	8.496883	8.42354	8.652081	8.279969	8.670153	8.912678	9.052833	8.578731	8.5687065	8.7783375	8.80435
10092	9.982991	10.015162	10.2136135	9.902562	9.573849	9.450657	9.563016	9.6124	9.977988	10.013137	9.381067	9.864166	9.570441	9.608159	10.0551405	9.669755	9.548878	9.529136	10.022885	9.262221	9.838454	9.713301	10.655131	9.695999
10093	9.271099	8.961768	9.168458	9.042547	9.046174	9.040746	8.816843	8.961768	9.086846	8.691228	8.75209	8.872766	8.954355	8.787989	8.796859	8.847048	8.753699	8.865875	8.974618	8.685053	8.835173	8.847502	9.275685	9.139689
10094	8.242286	8.687177	8.534602	9.510091	8.497276	8.764158	8.309074	8.75966	9.1094475	7.803897	8.587616	8.379913	8.079953	7.9675784	9.163037	8.448256	8.311317	8.332093	8.777616	8.505296	8.719845	8.266808	8.555681	8.156403
10095	6.8843207	6.9368057	7.0892477	6.986557	6.717868	6.9235487	7.537535	7.391998	8.41126	7.4759583	7.442199	7.230048	7.1128945	7.3101974	7.473934	6.8660374	7.717482	8.140256	7.082594	7.1657233	7.226823	6.661331	7.4719076	7.0268407
10096	8.349596	8.129564	8.302385	7.9278936	7.654174	7.239711	7.3045635	7.2424345	7.3775883	7.4289227	7.364858	7.623088	7.409765	7.5621614	7.358909	7.0541296	7.2963014	7.25132	7.4774265	6.7750254	7.031054	7.248849	7.660125	7.4954443
10099	8.81144	8.550836	9.425771	9.408076	8.691228	8.818406	8.584107	8.540216	9.364077	8.779569	8.667475	8.668631	9.335211	8.561928	9.219633	8.897308	9.090221	8.366963	9.112197	8.948596	9.118798	8.929038	9.373099	9.250995
